i = 0, attacked0: nbits = 32, TR = 0.8
i = 0, attacked1: nbits = 50, TR = 0.19999999999999996
i = 0, attacked2: nbits = 59, TR = 0.4
i = 0, attacked3: nbits = 69, TR = 0.4
i = 0, attacked4: nbits = 86, TR = 0.09999999999999998
i = 0, attacked5: nbits = 16, TR = 0.8
i = 0, attacked6: nbits = 116, TR = 0.7
i = 0, attacked7: nbits = 106, TR = 0.7
i = 0, attacked8: nbits = 36, TR = 0.6
i = 0, attacked9: nbits = 25, TR = 0.7
i = 1, attacked0: nbits = 118, TR = 0.19999999999999996
i = 1, Testing model on 10 of last 100 training adversarial examples
attacked0: prob lbl_v = 9 = 0.8369886875152588, prob lbl_t = 4 = 0.08594848215579987.
 SUCCESS: Prob for lbl_v = 9 = 0.837 is the highest prob
all probs: [9.7123310e-03 4.5177047e-03 2.1846322e-02 1.1604892e-03 8.5948482e-02
 2.7477571e-03 2.4848181e-04 3.6716927e-02 1.1285836e-04 8.3698869e-01]

attacked1: prob lbl_v = 9 = 0.6766411066055298, prob lbl_t = 7 = 0.31719714403152466.
 SUCCESS: Prob for lbl_v = 9 = 0.677 is the highest prob
all probs: [4.5191168e-04 1.1715015e-03 3.8516214e-03 1.1271947e-04 4.0021105e-04
 1.6754854e-04 2.5767465e-06 3.1719714e-01 3.5781950e-06 6.7664111e-01]

attacked2: prob lbl_v = 6 = 0.5646628737449646, prob lbl_t = 0 = 0.42819467186927795.
 SUCCESS: Prob for lbl_v = 6 = 0.565 is the highest prob
all probs: [4.2819467e-01 5.0824722e-03 2.3182103e-04 5.3275608e-06 1.8556881e-06
 1.5459807e-03 5.6466287e-01 1.1634459e-04 2.7206896e-05 1.3143460e-04]

attacked3: prob lbl_v = 8 = 0.5281132459640503, prob lbl_t = 4 = 0.0006801571580581367.
 SUCCESS: Prob for lbl_v = 8 = 0.528 is the highest prob
all probs: [1.4648734e-02 6.9775496e-04 1.1599128e-03 3.1151788e-03 6.8015716e-04
 2.1945012e-03 4.4894826e-01 2.9188735e-04 5.2811325e-01 1.5041804e-04]

attacked4: prob lbl_v = 3 = 0.0187941063195467, prob lbl_t = 4 = 0.05047425627708435.
 FAIL: Prob for lbl_v = 3 = 0.019, highest prob = 0.765 for class 9
all probs: [1.4575124e-02 5.7218965e-02 5.2930801e-03 1.8794106e-02 5.0474256e-02
 8.0332560e-03 3.5100538e-04 7.5455621e-02 4.4557373e-03 7.6534879e-01]

attacked5: prob lbl_v = 1 = 0.9624428749084473, prob lbl_t = 2 = 0.0008402492385357618.
 SUCCESS: Prob for lbl_v = 1 = 0.962 is the highest prob
all probs: [7.0685906e-05 9.6244287e-01 8.4024924e-04 2.2381251e-05 3.4799441e-04
 4.2609281e-05 1.6057710e-04 3.5060328e-02 8.8443830e-06 1.0035319e-03]

attacked6: prob lbl_v = 2 = 0.2830530107021332, prob lbl_t = 8 = 0.02899945341050625.
 FAIL: Prob for lbl_v = 2 = 0.283, highest prob = 0.406 for class 9
all probs: [0.0853833  0.06199529 0.283053   0.03609683 0.00881329 0.03077721
 0.0131128  0.04568259 0.02899945 0.4060862 ]

attacked7: prob lbl_v = 6 = 0.47761309146881104, prob lbl_t = 8 = 0.16227278113365173.
 SUCCESS: Prob for lbl_v = 6 = 0.478 is the highest prob
all probs: [0.07307337 0.04619382 0.03496258 0.0641805  0.00640084 0.0018249
 0.4776131  0.12182548 0.16227278 0.01165267]

attacked8: prob lbl_v = 1 = 0.13045534491539001, prob lbl_t = 4 = 0.025889486074447632.
 FAIL: Prob for lbl_v = 1 = 0.130, highest prob = 0.791 for class 7
all probs: [2.5903207e-04 1.3045534e-01 1.7994994e-04 1.5499744e-04 2.5889486e-02
 4.7540394e-04 1.6663756e-04 7.9082716e-01 8.6642953e-04 5.0725620e-02]

attacked9: prob lbl_v = 8 = 0.6001054048538208, prob lbl_t = 2 = 0.049380943179130554.
 SUCCESS: Prob for lbl_v = 8 = 0.600 is the highest prob
all probs: [1.5904231e-02 1.0025196e-02 4.9380943e-02 1.1209097e-03 2.9666573e-04
 2.0949691e-04 3.5939252e-04 1.8589458e-01 6.0010540e-01 1.3670321e-01]

i = 1, Testing on 100 unattacked images 
num: 0, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 1, success: pred: tensor([4], device='cuda:0') = lbl_v: 4
num: 2, success: pred: tensor([7], device='cuda:0') = lbl_v: 7
num: 3, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 4, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 5, success: pred: tensor([7], device='cuda:0') = lbl_v: 7
num: 6, success: pred: tensor([5], device='cuda:0') = lbl_v: 5
num: 7, success: pred: tensor([6], device='cuda:0') = lbl_v: 6
num: 8, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 9, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 10, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 11, fail: pred: tensor([6], device='cuda:0'), lbl_v = 8

num: 12, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 13, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 14, success: pred: tensor([0], device='cuda:0') = lbl_v: 0
num: 15, fail: pred: tensor([0], device='cuda:0'), lbl_v = 5

num: 16, success: pred: tensor([3], device='cuda:0') = lbl_v: 3
num: 17, success: pred: tensor([0], device='cuda:0') = lbl_v: 0
num: 18, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 19, success: pred: tensor([7], device='cuda:0') = lbl_v: 7
num: 20, success: pred: tensor([6], device='cuda:0') = lbl_v: 6
num: 21, success: pred: tensor([8], device='cuda:0') = lbl_v: 8
num: 22, success: pred: tensor([0], device='cuda:0') = lbl_v: 0
num: 23, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 24, success: pred: tensor([7], device='cuda:0') = lbl_v: 7
num: 25, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 26, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 27, fail: pred: tensor([7], device='cuda:0'), lbl_v = 4

num: 28, success: pred: tensor([5], device='cuda:0') = lbl_v: 5
num: 29, success: pred: tensor([1], device='cuda:0') = lbl_v: 1
num: 30, fail: pred: tensor([0], device='cuda:0'), lbl_v = 8

num: 31, success: pred: tensor([8], device='cuda:0') = lbl_v: 8
num: 32, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 33, success: pred: tensor([6], device='cuda:0') = lbl_v: 6
num: 34, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 35, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 36, success: pred: tensor([5], device='cuda:0') = lbl_v: 5
num: 37, success: pred: tensor([4], device='cuda:0') = lbl_v: 4
num: 38, fail: pred: tensor([9], device='cuda:0'), lbl_v = 3

num: 39, success: pred: tensor([3], device='cuda:0') = lbl_v: 3
num: 40, success: pred: tensor([3], device='cuda:0') = lbl_v: 3
num: 41, success: pred: tensor([6], device='cuda:0') = lbl_v: 6
num: 42, fail: pred: tensor([0], device='cuda:0'), lbl_v = 5

num: 43, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 44, fail: pred: tensor([0], device='cuda:0'), lbl_v = 6

num: 45, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 46, success: pred: tensor([8], device='cuda:0') = lbl_v: 8
num: 47, success: pred: tensor([0], device='cuda:0') = lbl_v: 0
num: 48, success: pred: tensor([0], device='cuda:0') = lbl_v: 0
num: 49, success: pred: tensor([8], device='cuda:0') = lbl_v: 8
num: 50, success: pred: tensor([1], device='cuda:0') = lbl_v: 1
num: 51, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 52, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 53, success: pred: tensor([6], device='cuda:0') = lbl_v: 6
num: 54, success: pred: tensor([7], device='cuda:0') = lbl_v: 7
num: 55, success: pred: tensor([0], device='cuda:0') = lbl_v: 0
num: 56, success: pred: tensor([5], device='cuda:0') = lbl_v: 5
num: 57, success: pred: tensor([3], device='cuda:0') = lbl_v: 3
num: 58, success: pred: tensor([0], device='cuda:0') = lbl_v: 0
num: 59, success: pred: tensor([5], device='cuda:0') = lbl_v: 5
num: 60, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 61, success: pred: tensor([4], device='cuda:0') = lbl_v: 4
num: 62, success: pred: tensor([4], device='cuda:0') = lbl_v: 4
num: 63, success: pred: tensor([4], device='cuda:0') = lbl_v: 4
num: 64, success: pred: tensor([1], device='cuda:0') = lbl_v: 1
num: 65, success: pred: tensor([0], device='cuda:0') = lbl_v: 0
num: 66, success: pred: tensor([5], device='cuda:0') = lbl_v: 5
num: 67, success: pred: tensor([7], device='cuda:0') = lbl_v: 7
num: 68, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 69, success: pred: tensor([2], device='cuda:0') = lbl_v: 2
num: 70, success: pred: tensor([6], device='cuda:0') = lbl_v: 6
num: 71, success: pred: tensor([5], device='cuda:0') = lbl_v: 5
num: 72, success: pred: tensor([8], device='cuda:0') = lbl_v: 8
num: 73, success: pred: tensor([7], device='cuda:0') = lbl_v: 7
num: 74, success: pred: tensor([3], device='cuda:0') = lbl_v: 3
num: 75, success: pred: tensor([0], device='cuda:0') = lbl_v: 0
num: 76, success: pred: tensor([7], device='cuda:0') = lbl_v: 7
num: 77, success: pred: tensor([7], device='cuda:0') = lbl_v: 7
num: 78, success: pred: tensor([5], device='cuda:0') = lbl_v: 5
num: 79, success: pred: tensor([8], device='cuda:0') = lbl_v: 8
num: 80, success: pred: tensor([1], device='cuda:0') = lbl_v: 1
num: 81, success: pred: tensor([3], device='cuda:0') = lbl_v: 3
num: 82, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 83, success: pred: tensor([3], device='cuda:0') = lbl_v: 3
num: 84, success: pred: tensor([9], device='cuda:0') = lbl_v: 9
num: 85, success: pred: tensor([5], device='cuda:0') = lbl_v: 5
